date,content,headlines
2024-03-21T16:46:46Z,"The United States Department of Justice (DOJ) has filed a landmark civil antitrust lawsuit against the tech giant Apple, alleging that the company has stifled competition to boost its revenues and il… [+3020 chars]",US DOJ announces antitrust lawsuit against tech giant Apple
2024-04-05T08:21:24Z,"Stocks ended solidly higher and bond yields rose Friday as Wall Street welcomed a surprisingly strong U.S. jobs report. 
The S&amp;P 500 rose 1.1%, making up most of the loss from the previous day a… [+3874 chars]",Stock market today: Asian shares mostly decline after Wall Street drop on rate cut concerns
2024-03-21T16:46:46Z,"The United States Department of Justice (DOJ) has filed a landmark civil antitrust lawsuit against the tech giant Apple, alleging that the company has stifled competition to boost its revenues and il… [+3020 chars]",US DOJ announces antitrust lawsuit against tech giant Apple
2024-03-15T07:37:42Z,"SAN FRANCISO (AP) Gerald Levin, who led Time Warner Media into a disastrous $182 billion merger with the internet provider America Online, died Wednesday at the age of 84, according to media reports.… [+5316 chars]","Gerald Levin, the former Time Warner CEO who engineered a disastrous mega-merger, is dead at 84"
2024-03-21T16:46:46Z,"The United States Department of Justice (DOJ) has filed a landmark civil antitrust lawsuit against the tech giant Apple, alleging that the company has stifled competition to boost its revenues and il… [+3020 chars]",US DOJ announces antitrust lawsuit against tech giant Apple
2024-04-08T18:13:45Z,"Israeli and Hamas officials say no significant progress has been made in the latest round of Gaza truce talks in Cairo attended by representatives from mediators Egypt, Qatar and the United States.
… [+4709 chars]",Hamas says no progress in Gaza truce talks as sides set to meet again
2024-04-09T20:09:41Z,"A truce between Israel and the Palestinian group Hamas in Gaza was never going to be easy. Weeks of talks have failed to produce agreement. But international pressure is growing.
Perhaps the biggest… [+6495 chars]",Can US pressure deliver Israel-Hamas truce in Gaza?
2024-03-28T08:30:32Z,"The global Islamic halal economy is set to reach a market value of $7.7 trillion by 2025, more than double the $3.2 trillion it reached in 2015 and significantly higher than the $5.7 trillion it was … [+7839 chars]",What is Islamic halal investment and why is it on the rise?
2024-04-04T07:08:50Z,"Six months into Israels devastating war on Gaza, Israeli Prime Minister Benjamin Netanyahu is being accused of dragging out the conflict to stay in power and for obstructing a deal with Hamas to brin… [+6574 chars]","Huge protests across Israel are telling Netanyahu to leave, will it happen?"
2024-04-07T04:49:36Z,"Six months after the Hamas attacks on Israel, war, disease, starvation and death ravage Palestinians in Gaza. Israel is deeply divided, as its prime minister struggles to keep his promise of total vi… [+17422 chars]",Bowen: Obstacles to peace seem larger than ever
2024-04-08T14:45:00Z,"What free speech, war zones, and Aristotle have to do with internet infrastructure.
ByNilay Patel, editor-in-chief of the Verge, host of the Decoder podcast, and co-host of The Vergecast.
Today, Im… [+73908 chars]",Why Cloudflare CEO Matthew Prince is the internet’s unlikely defender
2024-03-17T17:23:04Z,"The European Union has announced a 7.4 billion-euro ($8.06bn) aid package and an upgraded relationship with Egypt, part of a new deal to stem migrant flows to Europe that has been criticised by right… [+4007 chars]",EU announces $8bn package for Egypt as part of deal to check migrant flows
2024-04-01T20:27:16Z,"Egyptian President Abdel Fattah el-Sisi will be sworn in for a third consecutive term on Tuesday in the new capital being built outside Cairo, according to government news outlet Al-Ahram.
El-Sisi w… [+2076 chars]",Egypt’s Abdel Fattah el-Sisi to be sworn in as president for third term
2024-03-14T15:00:57Z,"Britain is cutting taxes for workers again ahead of elections.Britain slipped into recession late last year, and many people and businesses are struggling with a high cost of living.
The Conservativ… [+507 chars]",Can the Conservative government’s budget win over British voters?
2024-03-27T11:07:50Z,"Tunis, Tunisia Thirty-two-year-old Edna Mossay left Freetown, Sierra Leone, with her four children three years ago.
Its not easy there. Theres no food, no medication, no school, she said. The police… [+6220 chars]",North Africa bears the brunt of Europe’s externalisation policies: Analysts
2024-04-02T12:38:43Z,<ul><li>Egypt's President Abdel Fattah al-Sisi was sworn in Tuesday for his third term.</li><li>The 69-year-old former army chief is set to remain president until 2030.</li><li>He won a December elec… [+2843 chars],News24 | Egyptian President Sisi sworn in for third term
2024-03-17T11:40:10Z,CAIRO (AP) The European Union on Sunday announced a $8 billion aid package for cash-strapped Egypt as concerns mount that economic pressure and conflicts in neighboring countries could drive more mig… [+4144 chars],European Union announces $8 billion package of aid for Egypt
2024-03-27T01:30:56Z,"Being British number one has its benefits. 
Just ask Tia Norton. 
""I've seen Stormzy a couple of times,"" she says.
""There's been occasions where he's been eating breakfast on the table next to me,… [+3230 chars]",‘Living the dream as Britain’s best padel player’
2024-04-05T05:56:45Z,"McDonalds has said it will buy its 30-year-old Israel franchise from Alonyal, taking back ownership of 225 outlets that employ more than 5,000 people.
The US fast-food chain has been subject to boyc… [+2965 chars]",McDonald’s buys all 225 of Israeli franchise restaurants after boycotts
2024-03-28T08:30:32Z,"The global Islamic halal economy is set to reach a market value of $7.7 trillion by 2025, more than double the $3.2 trillion it reached in 2015 and significantly higher than the $5.7 trillion it was … [+7839 chars]",What is Islamic halal investment and why is it on the rise?
2024-03-30T08:56:11Z,"The United States has greenlighted the transfer of billions of dollars worth of bombs and fighter jets to Israel, The Washington Post reported, even as it publicly expresses concerns about the long-t… [+4966 chars]","US approves bombs, jets for Israel amid threat of offensive in Gaza’s Rafah"
2024-03-28T18:37:51Z,"A major Conservative Party donor and four Tory MPs have been awarded honours. 
Businessman Mohamed Mansour, who is a senior treasurer for the party, has been given a knighthood, along with Farming M… [+1736 chars]",Tory donor and four Conservative MPs given honours
2024-04-05T06:53:55Z,"McDonald’s has said it will buy its 30-year-old Israel franchise from Alonyal, taking back ownership of 225 outlets that employ more than 5 000 people.The US fast-food chain has been subject to boyco… [+2933 chars]",News24 Business | McDonald's acquires Israeli franchises after boycott causes 'meaningful business impact'
2024-04-03T13:37:06Z,"All except the shortest wars have times when killing is an unchanging, grim routine. There are also moments, like the last few days in the Middle East, when events leave belligerents and their allies… [+9963 chars]",Jeremy Bowen: The Israel-Gaza war is at a crossroads
2024-04-08T14:45:00Z,"What free speech, war zones, and Aristotle have to do with internet infrastructure.
ByNilay Patel, editor-in-chief of the Verge, host of the Decoder podcast, and co-host of The Vergecast.
Today, Im… [+73908 chars]",Why Cloudflare CEO Matthew Prince is the internet’s unlikely defender
