date,content,predicted_sentiment
2024-05-09 04:00:00+00:00,clearly gaza needs to be built from scratch the rubble of its violent past has to be swept away along with its radical ideology it must not be mismanaged by those whose principles led to its ruin 6905 chars,Negative
2024-05-09 05:00:00+00:00,dubai united arab emirates may 09 2024 globe newswire in a groundbreaking move apparel group a dominant force in the global fashion and lifestyle retail landscape partners with sandbox vr 5584 chars,Positive
2024-05-09 06:02:22+00:00,alliance news stocks in london are set to open up on thursday ahead of the latest interest rate decision from the bank of england ig says futures indicate the ftse 100 to open up 295 points 3295 chars,Positive
2024-05-09 06:14:52+00:00,adjusts date of monthly change to april cairo reuters egypts annual urban consumer price inflation rate decreased to 325 in april from 333 in march slowing slightly more than analysts had 1131 chars,Neutral
2024-05-09 07:37:32+00:00,experts warn of two bigip next central manager flaws that allow device takeover lockbit gang claimed responsibility for the attack on city of wichita new tunnelvision technique can bypass th 67028 chars,Negative
2024-05-09 08:12:21+00:00,alliance news stock prices in london opened muted on thursday ahead of the latest interest rate decision from the bank of england the ftse 100 index opened down just 268 points at 835137 t 5650 chars,Positive
2024-05-09 10:01:14+00:00,cairo reuters egypts foreign debt climbed by 35 billion in the three months to the end of december according to central bank data released on thursday total foreign debt rose to 1680 bil 689 chars,Negative
2024-05-09 10:58:59+00:00,natures oldest mandolin the poetic science of how cicadas sing the marginalian a rare burst of billions of cicadas will rewire our ecosystems for years to come vox the judgment holder problem in 7514 chars,Negative
2024-05-09 11:12:29+00:00,alliance news the ftse 100 was higher on thursday afternoon after the bank of england maintained the benchmark uk interest rate at 525 albeit with a vote split that encouraged rate cut expect 5809 chars,Positive
2024-05-09 11:21:03+00:00,zscaler is investigating data breach claims experts warn of two bigip next central manager flaws that allow device takeover lockbit gang claimed responsibility for the attack on city of wich 67076 chars,Negative
2024-05-09 12:00:09+00:00,welcome to thursday may 9 2024 and national butterscotch brownies day also known as blondies those are okay but chocolate is better heres a photo of a a blondie from wikipedia theyd be 19853 chars,Positive
2024-05-09 12:01:03+00:00,the united states has halted the shipment of some types of heavy bombs to israel and us president joe biden has also pledged to halt the supply of some offensive weapons and artillery shells to the c 6716 chars,Negative
2024-05-09 13:24:29+00:00,xi jinping chinas president left during a joint news conference with aleksandar vucic serbias president in belgrade serbia on wednesday may 8 2024 jinping lauded his nations ties with eas 5261 chars,Neutral
2024-05-09 13:41:53+00:00,mirai botnet also spreads through the exploitation of ivanti connect secure bugs zscaler is investigating data breach claims experts warn of two bigip next central manager flaws that allow d 67161 chars,Positive
2024-05-09 13:47:04+00:00,weak demand ahead of the general elections along with price cuts taken by the company amid intense competition weighed on the march quarter earnings of asian paints dragging its sales and profit be 2175 chars,Negative
2024-05-09 14:00:00+00:00,q i just completed a road scholar trip to egypt but on the trip home british airways canceled my flight four hours before its scheduled departure my ticket on british airways was in business clas 2617 chars,Neutral
2024-05-09 14:16:11+00:00,firstquarter2024 results management discussion amp analysis report 9 may 2024 adnoc classification public key highlights strong q1 2024 operating and financial performance acrosstheboard 29746 chars,Positive
2024-05-09 14:56:11+00:00,press release first quarter 2024 consolidated results results in line with expectations guidance confirmed volumes growth on the first quarter of 2023 cement 23 readymixed concre 33039 chars,Positive
2024-05-09 16:25:03+00:00,see michael holroyd lytton strachey the new biography vol i p 80 in which a letter sent by keynes to his friend lytton strachey in the bloomsbury set advised them to visit tunis where bed and 1701 chars,Positive
2024-05-09 16:34:19+00:00,part of the series the longsimmering crisis over israels genocide of palestinians has reached a breaking point campus protests in solidarity with gaza have erupted across north america spanning a 15143 chars,Negative
2024-05-09 16:35:30+00:00,why are americans cutting back on credit card debt us households piled up credit card debt much more slowly in march than in previous months resulting in the smallest increase in revolving debt 7312 chars,Negative
2024-05-09 17:08:34+00:00,koolfi creamery known for its south asian ice cream will open an outpost in san francisco koolfi creamery the vacant to vibrant initiative will bring paper son koolfi creamery and six ot 2492 chars,Positive
2024-05-09 18:21:02+00:00,the first ship carrying humanitarian aid for gaza was on its way thursday to a floating platform built by the us military the plan is for cargo to be transferred at the pier to smaller us boats 17016 chars,Neutral
2024-05-09 18:55:40+00:00,34905 killed and at least 78514 wounded in the gaza strip497 palestinians killed in the occupied west bank and east jerusalemisrael revises its estimated october 7863 chars,Negative
2024-05-09 19:04:38+00:00,get breaking stories and analysis on the global economy from sputnik httpssputnikglobecom20240509bricsblocsbullionbuyupbuoystrendtowarddedollarization1118365980html brics blocs bul 7362 chars,Neutral
2024-05-09 21:14:34+00:00,transcript the inside story the gaza war widening crisis episode 142 may 9 2024 show open the situation in gaza reaches a critical point as israel urges civilians in rafah to evacuate 24231 chars,Negative
2024-05-09 21:17:52+00:00,ten phd students from the graduate school of arts and sciences gsas have been named prize teaching fellows for the 20232024 academic year camille angelo religious studies carissa chan microbi 8064 chars,Positive
2024-05-09 22:15:00+00:00,jerusalem israeli prime minister benjamin netanyahu said thursday that a us threat to withhold some arms would not prevent israel from continuing its offensive in gaza indicating it might proceed 20228 chars,Negative
2024-05-09 23:53:00+00:00,singapore may 9 2024 prnewswire opay the leading fintech company focused on emerging markets today announced its landmark first monthly profitability with daily active trading users soa 5341 chars,Positive
2024-05-10 01:02:06+00:00,despite the us dollar dominance sweeping the financial space the apprehensions surrounding the us economy are compelling nations to take staggering steps a new development has been noted where midd 300 chars,Positive
2024-05-10 02:28:31+00:00,the us has been engaging china at a high level in recent months to stabilise bilateral ties but seeks to set the terms for this china has been playing hard to get and wants to create an impression t 7432 chars,Positive
2024-05-10 02:45:57+00:00,oil prices edged up as investors keep an eye on developments in the middle east copyright getty images north americaafp brandon bell growing hopes that the federal reserve and other central banks 3213 chars,Positive
2024-05-10 02:48:08+00:00,growing hopes that the federal reserve and other central banks are close to cutting interest rates helped push asian stocks higher friday traders tracked gains in new york as well as records in lon 3041 chars,Positive
2024-05-10 04:01:00+00:00,the european union is facing a severe crisis marked by unfulfilled promises of democracy equal exchange and shared prosperity the situation is particularly dire for some eu nations with greece a 6652 chars,Negative
2024-05-10 05:02:11+00:00,crude oil futures traded higher on friday morning as the trade data from china showed improvement in its economy at 952 am on friday july brent oil futures were at 8436 up by 057 per cent a 2369 chars,Negative
2024-05-10 05:23:45+00:00,citrix warns customers to update putty version installed on their xencenter system manually dell discloses data breach impacting millions of customers mirai botnet also spreads through the ex 67320 chars,Negative
2024-05-10 05:56:16+00:00,alliance news stocks in london are set to open up on friday after a dovish bank of england interest rates hold on thursday and with uk gross domestic product data due out shortly before the open 3109 chars,Neutral
2024-05-10 05:58:17+00:00,photograph by nathaniel st clair in cairo representatives from hamas held indirect negotiations with israel for a ceasefire the sticking point for several of the rounds was the order of events i 9334 chars,Neutral
2024-05-10 06:58:32+00:00,alliance news stocks in london are set to open up on friday after a dovish bank of england interest rates hold on thursday at its may meeting the bank of englands monetary policy committee vo 7951 chars,Positive
2024-05-10 08:04:22+00:00,alliance news stock prices in london opened up after a dovish bank of england interest rates hold on thursday meanwhile uk gross domestic product data came out before the opening showing grow 7245 chars,Neutral
